id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,activity,occupancy_%,how_far_km
14314,Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,2,328,2019-06-29,2.82,1,234,Active,36.0,7.800238095238094
14322,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,2019-03-25,0.22,1,257,Active,30.0,7.232433862433861
14377,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,2019-06-22,0.9,1,30,Active,92.0,8.397863756613756
14991,Manhattan,Lower East Side,40.720040000000004,-73.99104,Private room,110,5,19,2019-05-18,0.17,1,301,Active,18.0,7.590006613756613
15220,Manhattan,Hell's Kitchen,40.755309999999994,-73.99293,Private room,69,2,289,2019-09-06,2.49,2,294,Active,19.0,7.535767195767196
15338,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,2019-04-06,1.19,3,320,Active,12.0,8.601011904761902
15341,Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,2019-06-29,0.3,1,154,Active,58.0,7.610535714285715
15385,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,2019-06-30,0.38,1,263,Active,28.0,8.203055555555556
15711,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,2019-03-30,0.57,2,231,Active,37.0,8.186917989417989
16326,Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,2019-01-26,1.33,2,297,Active,19.0,10.099153439153438
16421,Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,52,30,191,2019-05-16,1.65,1,191,Active,48.0,7.62795634920635
16580,Manhattan,East Village,40.726490000000005,-73.97904,Private room,80,1,338,2019-01-07,4.72,2,72,Active,80.0,7.429940476190477
16595,Brooklyn,Williamsburg,40.70933,-73.96791999999999,Entire home/apt,275,1,148,2019-06-23,1.4,1,362,Active,1.0,8.1875
16821,Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,2019-06-21,1.26,2,336,Active,8.0,7.490945767195767
16974,Manhattan,East Harlem,40.80164,-73.93921999999999,Entire home/apt,225,4,190,2019-06-23,1.64,1,215,Active,41.0,10.216739417989418
17092,Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,7,23,2019-01-06,0.43,1,88,Active,76.0,7.705231481481483
17693,Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,2019-06-18,1.6,2,336,Active,8.0,12.530343915343915
17747,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,2019-06-26,0.92,1,304,Active,17.0,9.73228835978836
18127,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,2019-02-01,0.2,1,224,Active,39.0,7.365310846560848
18152,Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,2019-06-07,1.5,1,322,Active,12.0,8.18361111111111
18198,Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,2019-05-31,0.22,1,324,Active,11.0,10.054212962962962
18590,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,2019-06-16,1.28,1,132,Active,64.0,8.969695767195768
18728,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,2019-05-28,1.65,1,295,Active,19.0,7.5520171957671955
18764,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,2019-04-22,0.54,4,238,Active,35.0,8.23742724867725
19159,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,2019-03-23,0.49,1,209,Active,43.0,12.19793650793651
19169,Manhattan,Lower East Side,40.718509999999995,-73.98892,Entire home/apt,285,5,70,2019-06-30,0.62,1,328,Active,10.0,7.630105820105821
19282,Brooklyn,Flatbush,40.65401,-73.96323000000001,Entire home/apt,130,6,16,2019-06-15,0.15,1,38,Active,90.0,12.006382275132275
19319,Manhattan,Lower East Side,40.7114,-73.98794000000001,Private room,94,30,94,2019-08-04,0.84,1,188,Active,48.0,7.905919312169312
20299,Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,2019-06-30,1.73,1,26,Active,93.0,7.481646825396825
20611,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,2019-06-22,1.54,4,288,Active,21.0,8.211421957671957
20724,Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,2019-05-26,0.28,1,317,Active,13.0,9.451593915343912
20734,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,2019-06-27,3.4,1,207,Active,43.0,9.68804894179894
20755,Brooklyn,Clinton Hill,40.68634,-73.96600000000001,Private room,98,7,16,2019-05-31,0.2,6,185,Active,49.0,9.500853174603174
20853,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,2019-05-21,0.3,1,158,Active,57.0,9.839781746031745
21293,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,2019-06-18,1.05,2,9,Active,98.0,9.912123015873016
21456,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,2019-07-07,0.71,1,198,Active,46.0,9.540767195767195
21794,Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,2019-01-05,0.27,2,364,Active,0.0,7.567261904761903
22918,Manhattan,Harlem,40.822790000000005,-73.95139,Private room,60,3,11,2019-03-01,0.87,3,219,Active,40.0,11.630859788359787
23135,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,2019-06-24,2.09,3,342,Active,6.0,9.959503968253971
23686,Manhattan,West Village,40.730959999999996,-74.00319,Entire home/apt,500,4,46,2019-05-18,0.55,2,243,Active,33.0,7.595615079365079
24143,Brooklyn,Williamsburg,40.71332,-73.94176999999999,Private room,101,3,335,2019-05-29,3.02,1,152,Active,58.0,8.772784391534392
25235,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92376999999999,Entire home/apt,125,90,162,2019-06-28,1.46,2,137,Active,62.0,10.914867724867726
25696,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,2019-06-23,1.61,1,346,Active,5.0,10.62
26362,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,2019-06-16,3.0,2,279,Active,24.0,7.5341335978835975
26520,Brooklyn,Clinton Hill,40.68698,-73.96571999999999,Private room,125,2,19,2019-02-06,0.2,6,250,Active,32.0,9.463194444444444
26785,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,2018-12-30,4.22,2,192,Active,47.0,10.687599206349207
26969,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,2019-06-23,3.01,1,107,Active,71.0,8.047572751322754
27006,Manhattan,Upper West Side,40.77823,-73.97636999999999,Entire home/apt,235,6,27,2019-04-27,0.27,1,199,Active,45.0,8.267579365079365
27385,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,2019-07-06,1.05,4,299,Active,18.0,7.447929894179895
27531,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,2019-05-20,3.2,3,20,Active,95.0,10.695416666666668
27644,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,2019-01-07,2.03,1,318,Active,13.0,12.073029100529098
27659,Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,2018-12-30,0.24,2,216,Active,41.0,10.967050264550263
27759,Manhattan,Upper West Side,40.778420000000004,-73.97556,Entire home/apt,170,7,13,2019-06-26,0.12,1,224,Active,39.0,8.274186507936507
29013,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,2019-05-14,0.58,2,310,Active,15.0,9.92723544973545
29455,Manhattan,Harlem,40.816179999999996,-73.94894000000001,Entire home/apt,120,3,155,2019-06-20,1.42,3,213,Active,42.0,11.095681216931217
29628,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,2019-03-07,2.35,1,278,Active,24.0,9.690277777777778
29683,Manhattan,East Village,40.72392,-73.99143000000001,Entire home/apt,185,5,73,2019-06-25,0.66,1,209,Active,43.0,7.48468253968254
30031,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,2019-05-20,1.86,1,0,Active,100.0,7.92130291005291
30927,Manhattan,Lower East Side,40.713409999999996,-73.98855999999999,Entire home/apt,105,3,32,2019-06-14,0.29,1,16,Active,96.0,7.820171957671957
31130,Manhattan,Hell's Kitchen,40.767540000000004,-73.98399,Private room,130,2,50,2019-05-26,0.45,3,234,Active,36.0,7.796474867724867
31555,Manhattan,West Village,40.73442,-74.00303000000001,Entire home/apt,115,29,26,2019-01-07,0.25,1,12,Active,97.0,7.570992063492063
31902,Brooklyn,Flatlands,40.631879999999995,-73.93248,Private room,77,2,2,2019-01-01,0.02,1,178,Active,51.0,14.526342592592592
31994,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,2019-06-24,3.89,3,275,Active,25.0,9.482876984126984
32023,Brooklyn,Bedford-Stuyvesant,40.682959999999994,-73.93661999999999,Entire home/apt,125,3,227,2019-06-23,2.09,2,163,Active,55.0,10.479616402116402
32037,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,2019-01-07,0.77,3,365,Active,0.0,9.477910052910053
32965,Brooklyn,Bedford-Stuyvesant,40.682809999999996,-73.93524000000001,Entire home/apt,115,3,124,2019-06-20,1.72,2,170,Active,53.0,10.53683201058201
32969,Brooklyn,Williamsburg,40.715959999999995,-73.93938,Entire home/apt,160,3,11,2019-02-07,0.11,1,188,Active,48.0,8.773029100529099
33009,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,2019-06-17,2.19,1,214,Active,41.0,8.151441798941798
33014,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,2019-06-17,0.28,1,248,Active,32.0,7.48085978835979
33223,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,2019-06-22,1.86,4,262,Active,28.0,8.239146825396826
34760,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,2019-06-29,1.05,5,280,Active,23.0,9.100469576719576
35526,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,2019-06-22,0.74,1,307,Active,16.0,7.509689153439152
36133,Brooklyn,Williamsburg,40.71536,-73.96056999999999,Private room,125,3,155,2019-06-13,1.61,1,1,Active,100.0,8.10396164021164
36703,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,2019-03-31,1.24,1,312,Active,15.0,7.611342592592592
36934,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,2018-12-27,0.25,1,189,Active,48.0,8.088015873015872
38638,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,2019-06-26,1.16,2,290,Active,21.0,8.450310846560846
38663,Brooklyn,Boerum Hill,40.685590000000005,-73.98094,Entire home/apt,475,3,23,2018-12-31,0.27,1,230,Active,37.0,9.39964947089947
39267,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,2019-08-06,2.6,2,164,Active,55.0,8.324153439153438
39282,Brooklyn,Williamsburg,40.710879999999996,-73.95055,Private room,69,4,202,2019-05-28,1.86,2,53,Active,85.0,8.561666666666667
39593,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,2019-12-04,0.26,1,126,Active,65.0,9.001256613756613
39704,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,2019-06-22,2.86,2,3,Active,99.0,10.157037037037037
41348,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,2019-06-07,2.17,1,0,Active,100.0,10.692063492063493
42580,Brooklyn,Clinton Hill,40.68843,-73.96408000000001,Private room,70,2,294,2019-06-24,3.47,3,336,Active,8.0,9.397420634920637
42729,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,2019-06-18,1.4,3,342,Active,6.0,10.057189153439154
42882,Staten Island,St. George,40.64524,-74.08088000000001,Private room,70,2,166,2019-06-13,1.66,1,312,Active,15.0,15.034960317460316
43957,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,2019-06-19,0.94,1,37,Active,90.0,10.064517195767195
44096,Bronx,Highbridge,40.83232,-73.93184000000001,Private room,40,1,219,2019-04-07,2.04,3,353,Active,3.0,12.797619047619047
44212,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,2019-06-23,0.78,4,310,Active,15.0,7.4518320105820095
44221,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,114,2019-06-20,1.06,1,0,Active,100.0,8.561984126984127
44229,Brooklyn,Fort Greene,40.690979999999996,-73.97113,Private room,110,2,213,2019-06-24,2.0,2,321,Active,12.0,9.126402116402117
44288,Manhattan,West Village,40.737559999999995,-74.00405,Entire home/apt,170,3,86,2019-01-06,0.8,1,246,Active,33.0,7.6019708994709
44506,Manhattan,Harlem,40.815259999999995,-73.94791,Entire home/apt,165,3,80,2019-05-26,0.75,3,231,Active,37.0,11.034113756613758
45542,Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,2,18,2018-12-17,1.79,1,0,Active,100.0,11.935145502645506
45556,Brooklyn,Fort Greene,40.688629999999996,-73.97691,Private room,65,2,206,2019-06-30,1.92,2,0,Active,100.0,9.217612433862431
45910,Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,8,10,2019-12-05,0.11,5,365,Active,0.0,11.16417328042328
45936,Manhattan,Morningside Heights,40.80549,-73.95924000000001,Private room,99,4,122,2019-05-14,1.18,2,233,Active,36.0,10.140105820105822
45940,Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,2019-08-04,0.58,1,1,Active,100.0,8.119847883597885
46544,Brooklyn,Park Slope,40.67994,-73.97863000000001,Entire home/apt,150,5,52,2019-05-06,0.5,1,18,Active,95.0,9.814232804232805
46723,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,90,3,126,2019-05-19,1.17,4,343,Active,6.0,10.33941798941799
46911,Brooklyn,Prospect Heights,40.67868,-73.97306999999999,Private room,120,3,51,2019-06-24,0.48,3,250,Active,32.0,9.946369047619047
47199,Manhattan,Upper East Side,40.76834,-73.95334,Private room,75,3,199,2019-06-24,1.85,1,326,Active,11.0,8.089279100529103
47926,Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,1,41,2019-06-26,0.38,1,299,Active,18.0,7.898948412698412
48719,Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,299,2,109,2019-06-15,1.04,1,207,Active,43.0,7.618948412698412
50447,Brooklyn,South Slope,40.6693,-73.98804,Entire home/apt,135,5,151,2019-06-22,1.43,3,162,Active,56.0,10.622222222222225
51485,Manhattan,Lower East Side,40.72319,-73.99201,Private room,83,1,285,2019-06-22,2.69,1,7,Active,98.0,7.508141534391535
51572,Manhattan,Chelsea,40.74859,-73.99671,Private room,123,1,375,2019-06-18,3.52,1,328,Active,10.0,7.487003968253968
51850,Queens,Jamaica,40.67252,-73.76597,Private room,55,2,52,2019-05-20,0.49,2,365,Active,0.0,20.91220238095238
53137,Manhattan,Hell's Kitchen,40.762440000000005,-73.99271,Entire home/apt,195,5,10,2019-01-07,1.01,1,0,Active,100.0,7.763181216931218
53477,Queens,Middle Village,40.71546,-73.87854,Entire home/apt,265,7,38,2019-04-27,0.38,5,365,Active,0.0,11.896580687830687
54158,Brooklyn,Williamsburg,40.7195,-73.95976,Entire home/apt,249,2,358,2019-06-20,3.44,2,164,Active,55.0,7.983379629629629
54508,Brooklyn,Prospect Heights,40.6787,-73.97261999999999,Private room,100,2,226,2019-06-06,2.12,3,250,Active,32.0,9.949186507936506
54544,Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,121,1,104,2019-06-22,1.0,5,247,Active,32.0,10.67425925925926
54626,Bronx,Highbridge,40.83075,-73.93058,Private room,45,1,138,2019-06-30,1.45,3,323,Active,12.0,12.691554232804231
54860,Manhattan,East Harlem,40.79958,-73.94275,Private room,100,5,204,2019-06-23,1.92,1,192,Active,47.0,9.987896825396826
55467,Brooklyn,Williamsburg,40.71625,-73.93845,Entire home/apt,140,2,253,2019-02-07,3.04,1,125,Active,66.0,8.800165343915342
55498,Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,Private room,71,2,23,2019-01-07,0.22,1,91,Active,75.0,10.522539682539682
55737,Manhattan,West Village,40.728609999999996,-74.0049,Entire home/apt,199,5,129,2019-05-19,1.22,1,286,Active,22.0,7.671170634920636
55959,Brooklyn,Williamsburg,40.709790000000005,-73.95161999999999,Private room,69,4,82,2019-10-06,1.13,2,60,Active,84.0,8.572599206349206
55982,Brooklyn,Fort Greene,40.68656,-73.97525,Private room,68,3,37,2018-12-31,0.35,1,0,Active,100.0,9.370019841269842
56467,Manhattan,East Village,40.72752,-73.98432,Entire home/apt,130,1,204,2019-01-07,2.04,1,192,Active,47.0,7.377876984126984
56525,Brooklyn,Greenpoint,40.729,-73.95829,Entire home/apt,195,2,69,2019-06-13,0.65,1,58,Active,84.0,7.7729232804232815
56859,Manhattan,Harlem,40.81219,-73.94499,Private room,64,1,192,2019-03-06,1.84,5,245,Active,33.0,10.834695767195766
57166,Queens,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,140,2,17,2019-06-17,0.16,1,292,Active,20.0,10.312949735449736
57297,Brooklyn,Cobble Hill,40.68926,-73.99386,Entire home/apt,159,2,222,2019-06-24,2.12,1,279,Active,24.0,9.182969576719577
57468,Manhattan,East Village,40.72821,-73.98701,Entire home/apt,189,3,205,2019-06-23,1.96,1,0,Active,100.0,7.363670634920635
57618,Manhattan,Hell's Kitchen,40.7672,-73.98508000000001,Entire home/apt,250,3,94,2019-09-06,0.96,1,3,Active,99.0,7.7983134920634924
57740,Manhattan,East Village,40.73012,-73.99053,Entire home/apt,239,3,7,2019-05-24,0.07,1,351,Active,4.0,7.349113756613757
57754,Manhattan,Flatiron District,40.7403,-73.98498000000001,Entire home/apt,305,2,108,2019-06-30,1.09,1,201,Active,45.0,7.2297751322751305
57874,Manhattan,Harlem,40.809309999999996,-73.94343,Entire home/apt,155,3,222,2019-06-26,2.1,2,232,Active,36.0,10.643597883597883
58059,Manhattan,Harlem,40.8251,-73.94287,Private room,60,1,458,2019-03-07,4.58,2,258,Active,29.0,11.943485449735453
58062,Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,135,2,21,2019-05-17,0.26,1,272,Active,25.0,11.492063492063492
58467,Manhattan,Roosevelt Island,40.76193,-73.9501,Private room,120,7,17,2019-08-05,0.3,1,341,Active,7.0,8.018214285714286
59014,Manhattan,Lower East Side,40.72052,-73.98589,Entire home/apt,150,3,41,2019-02-01,0.39,1,244,Active,33.0,7.562526455026456
59642,Brooklyn,Greenpoint,40.73401,-73.95966999999999,Entire home/apt,135,2,69,2019-05-19,0.67,1,12,Active,97.0,7.645416666666666
59709,Manhattan,Chinatown,40.71756,-73.99503,Entire home/apt,250,4,18,2019-01-07,0.18,2,265,Active,27.0,7.702863756613756
60164,Manhattan,SoHo,40.72003,-74.00262,Entire home/apt,500,4,94,2019-06-23,0.99,1,329,Active,10.0,7.761904761904763
60457,Manhattan,Greenwich Village,40.73194,-73.99474000000001,Entire home/apt,225,5,10,2019-11-05,0.1,1,91,Active,75.0,7.383161375661375
60666,Manhattan,Harlem,40.8118,-73.94434,Private room,92,1,189,2019-11-06,1.82,5,253,Active,31.0,10.8160582010582
60680,Manhattan,East Village,40.72654,-73.98049,Entire home/apt,99,2,127,2019-06-20,1.22,1,320,Active,12.0,7.417076719576719
60948,Manhattan,East Harlem,40.80942,-73.93936,Entire home/apt,140,3,135,2019-06-20,1.3,3,192,Active,47.0,10.746911375661378
61406,Manhattan,Harlem,40.80335,-73.9575,Private room,80,14,10,2019-01-06,2.21,2,0,Active,100.0,9.992579365079363
61492,Manhattan,Chinatown,40.71445,-73.9908,Private room,120,4,171,2019-06-23,1.8,2,353,Active,3.0,7.784351851851853
61509,Manhattan,Midtown,40.757490000000004,-73.96897,Entire home/apt,110,200,92,2019-04-30,0.9,1,140,Active,62.0,7.450496031746032
62095,Brooklyn,East Flatbush,40.644459999999995,-73.9503,Entire home/apt,65,3,238,2019-06-14,2.3,1,2,Active,99.0,13.030099206349206
62427,Manhattan,East Village,40.7268,-73.99079,Entire home/apt,130,50,56,2019-05-26,0.58,1,56,Active,85.0,7.412552910052908
62430,Brooklyn,Bushwick,40.688,-73.9171,Entire home/apt,99,3,111,2019-06-22,2.13,1,68,Active,81.0,10.954708994708993
62452,Staten Island,Tompkinsville,40.63536,-74.08537,Private room,36,2,193,2019-06-25,1.85,6,360,Active,1.0,15.89921957671958
62461,Staten Island,Tompkinsville,40.63627,-74.08543,Private room,37,2,147,2019-10-06,1.44,6,0,Active,100.0,15.838822751322756
62787,Staten Island,Tompkinsville,40.63518,-74.08546,Private room,37,2,177,2019-02-07,1.71,6,320,Active,12.0,15.91570105820106
62891,Manhattan,East Village,40.72477,-73.98161,Entire home/apt,175,3,185,2019-05-24,1.78,2,326,Active,11.0,7.454424603174603
62903,Manhattan,Chelsea,40.74238,-73.99566999999999,Entire home/apt,205,9,62,2019-06-21,0.7,2,76,Active,79.0,7.3840211640211635
62925,Brooklyn,Greenpoint,40.72945,-73.95510999999999,Entire home/apt,285,3,124,2019-06-16,1.22,3,279,Active,24.0,7.857063492063492
63299,Brooklyn,Williamsburg,40.70763,-73.95177,Private room,59,2,181,2019-06-23,1.77,2,15,Active,96.0,8.659748677248679
63320,Staten Island,Tompkinsville,40.634809999999995,-74.08519,Private room,36,2,333,2019-02-07,3.19,6,340,Active,7.0,15.929351851851852
63360,Queens,Astoria,40.753840000000004,-73.91433,Entire home/apt,99,5,441,2019-06-24,4.5,1,226,Active,38.0,9.48401455026455
63546,Brooklyn,Kensington,40.641059999999996,-73.97426,Private room,39,1,45,2019-05-16,0.46,2,365,Active,0.0,13.017123015873015
63610,Bronx,Eastchester,40.88057,-73.83572,Entire home/apt,105,2,38,2019-06-27,0.5,13,365,Active,0.0,20.738882275132283
